,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,9569700,20000000,826,1863,0.0472,0.0958,0.6249,0.004062,0.32,0.37,2012-01-22,p636dXb,"x_C_1 = regression_neut(implied_volatility_call_10, implied_volatility_mean_10);g_C_1 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_1 = group_neutralize(x_C_1,g_C_1);signal_C_1 = ts_backfill(ts_decay_linear(s_C_1, 15), 63);zscore(add(signal_C_1,ts_theilsen(vec_avg(nws12_afterhsz_spyclose), cap, 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1,9569922,20000000,826,1863,0.0472,0.0958,0.6249,0.004062,0.32,0.37,2012-01-22,PpKpxzJ,"x_C_0 = regression_neut(implied_volatility_mean_10, implied_volatility_put_10);g_C_0 = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;s_C_0 = group_neutralize(x_C_0,g_C_0);signal_C_0 = ts_backfill(ts_decay_linear(s_C_0, 15), 63);zscore(add(signal_C_0,ts_theilsen(vec_avg(nws12_afterhsz_spyclose), cap, 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2,9570544,20000000,826,1863,0.0472,0.0958,0.6249,0.004061,0.32,0.37,2012-01-22,WpJGMZk,"x_C_2 = regression_neut(implied_volatility_call_10, implied_volatility_put_10);g_C_2 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_2 = group_neutralize(x_C_2,g_C_2);signal_C_2 = ts_backfill(ts_decay_linear(s_C_2, 15), 63);zscore(add(signal_C_2,ts_theilsen(vec_avg(nws12_afterhsz_spyclose), cap, 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
3,23349394,20000000,21,9,0.6206,0.2339,1.5727,0.000754,0.23,0.37,2012-01-22,EwxwGv1,"x_C_0 = regression_neut(implied_volatility_mean_10, implied_volatility_put_10);g_C_0 = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;s_C_0 = group_neutralize(x_C_0,g_C_0);signal_C_0 = ts_backfill(ts_decay_linear(s_C_0, 15), 63);zscore(add(signal_C_0,-ts_vector_proj(vec_avg(nws12_afterhsz_1p), vec_avg(nws12_prez_02p), 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
4,22443250,20000000,21,9,0.6025,0.2248,1.4883,0.000746,0.22,0.36,2012-01-22,WpJpOaj,"x_C_1 = regression_neut(implied_volatility_call_10, implied_volatility_mean_10);g_C_1 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_1 = group_neutralize(x_C_1,g_C_1);signal_C_1 = ts_backfill(ts_decay_linear(s_C_1, 15), 63);zscore(add(signal_C_1,-ts_vector_proj(vec_avg(nws12_afterhsz_1p), vec_avg(nws12_prez_02p), 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
5,21719927,20000000,20,9,0.5921,0.2175,1.2504,0.000735,0.22,0.36,2012-01-22,ro8onv1,"x_C_2 = regression_neut(implied_volatility_call_10, implied_volatility_put_10);g_C_2 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_2 = group_neutralize(x_C_2,g_C_2);signal_C_2 = ts_backfill(ts_decay_linear(s_C_2, 15), 63);zscore(add(signal_C_2,-ts_vector_proj(vec_avg(nws12_afterhsz_1p), vec_avg(nws12_prez_02p), 250), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
6,7705675,20000000,27,15,0.445,0.0771,1.8881,0.000347,0.05,0.12,2012-01-22,0757Go2,"x_C_1 = regression_neut(implied_volatility_call_10, implied_volatility_mean_10);g_C_1 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_1 = group_neutralize(x_C_1,g_C_1);signal_C_1 = ts_backfill(ts_decay_linear(s_C_1, 15), 63);zscore(add(signal_C_1,-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
7,5056661,20000000,27,15,0.4794,0.0506,1.4777,0.000211,0.03,0.08,2012-01-22,AwEw3Jg,"x_C_0 = regression_neut(implied_volatility_mean_10, implied_volatility_put_10);g_C_0 = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;s_C_0 = group_neutralize(x_C_0,g_C_0);signal_C_0 = ts_backfill(ts_decay_linear(s_C_0, 15), 63);zscore(add(signal_C_0,-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
8,3500793,20000000,26,15,0.4382,0.035,1.7815,0.00016,0.02,0.06,2012-01-22,Vpepe90,"x_C_2 = regression_neut(implied_volatility_call_10, implied_volatility_put_10);g_C_2 = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;s_C_2 = group_neutralize(x_C_2,g_C_2);signal_C_2 = ts_backfill(ts_decay_linear(s_C_2, 15), 63);zscore(add(signal_C_2,-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30), filter = false))",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
